state,result,elector,winner,loser,Republican,Democrats,REP_C,DEM_C
Alabama,1,9,Donald Trump,Hiraly Clinton,9,0,1318255,729547
Alaska,1,3,Donald Trump,Hiraly Clinton,3,0,163387,116454
Arkansas,1,6,Donald Trump,Hiraly Clinton,6,0,684872,380494
Arizona,1,11,Donald Trump,Hiraly Clinton,11,0,1252401,1161167
California,2,55,Hiraly Clinton,Donald Trump,0,55,4483810,8753788
Colorado,2,9,Hiraly Clinton,Donald Trump,0,9,1202484,1338870
Connecticut,2,7,Hiraly Clinton,Donald Trump,0,7,673215,897572
Delaware,2,3,Hiraly Clinton,Donald Trump,0,3,185127,235603
District of Columbia,2,3,Hiraly Clinton,Donald Trump,0,3,12723,282830
Florida,1,29,Donald Trump,Hiraly Clinton,29,0,4617886,4504975
Georgia,1,16,Donald Trump,Hiraly Clinton,16,0,2089104,1877963
Hawaii,2,4,Hiraly Clinton,Donald Trump,0,4,128847,266891
Iowa,1,6,Donald Trump,Hiraly Clinton,6,0,800983,653669
Idaho,1,4,Donald Trump,Hiraly Clinton,4,0,409055,189765
Illinois,2,20,Hiraly Clinton,Donald Trump,0,20,2146015,3090729
Indiana,1,11,Donald Trump,Hiraly Clinton,11,0,1557286,1033126
Kansas,1,6,Donald Trump,Hiraly Clinton,6,0,671018,427005
Kentucky,1,8,Donald Trump,Hiraly Clinton,8,0,1202971,628854
Louisiana,1,8,Donald Trump,Hiraly Clinton,8,0,1178638,780154
Maine,2,3 (Trump:1),Hiraly Clinton,Donald Trump,1,3,335593,357735
Maryland,2,10,Hiraly Clinton,Donald Trump,0,10,943169,1677928
Massachusetts,2,11,Hiraly Clinton,Donald Trump,0,11,1090893,1995196
Michigan,1,16,Donald Trump,Hiraly Clinton,16,0,2279543,2268839
Minnesota,2,10,Hiraly Clinton,Donald Trump,0,10,1322951,1367716
Missouri,1,10,Donald Trump,Hiraly Clinton,10,0,1594511,1071068
Mississippi,1,6,Donald Trump,Hiraly Clinton,6,0,700714,485131
Montana,1,3,Donald Trump,Hiraly Clinton,3,0,279240,177709
North Carolina,1,15,Donald Trump,Hiraly Clinton,15,0,2362631,2189316
North Dakota,1,3,Donald Trump,Hiraly Clinton,3,0,216794,93758
Nebraska,1,5,Donald Trump,Hiraly Clinton,5,0,495961,284494
New Hampshire,2,4,Hiraly Clinton,Donald Trump,0,4,345790,348526
New Jersey,2,14,Hiraly Clinton,Donald Trump,0,14,1601933,2148278
New Mexico,2,5,Hiraly Clinton,Donald Trump,0,5,319666,385234
Nevada,2,6,Hiraly Clinton,Donald Trump,0,6,512058,539260
New York,2,29,Hiraly Clinton,Donald Trump,0,29,2819534,4556124
Ohio,1,18,Donald Trump,Hiraly Clinton,18,0,2841005,2394164
Oklahoma,1,7,Donald Trump,Hiraly Clinton,7,0,949136,420375
Oregon,2,7,Hiraly Clinton,Donald Trump,0,7,782403,1002106
Pennsylvania,1,20,Donald Trump,Hiraly Clinton,20,0,2970733,2926441
Rhode Island,2,4,Hiraly Clinton,Donald Trump,0,4,180543,252525
South Carolina,1,9,Donald Trump,Hiraly Clinton,9,0,1155389,855373
South Dakota,1,3,Donald Trump,Hiraly Clinton,3,0,227721,117458
Tennessee,1,11,Donald Trump,Hiraly Clinton,11,0,1522925,870695
Texas,1,38,Donald Trump,Hiraly Clinton,38,0,4685047,3877868
Utah,1,6,Donald Trump,Hiraly Clinton,6,0,515231,310676
Virginia,2,13,Hiraly Clinton,Donald Trump,0,13,1769443,1981473
Vermont,2,3,Hiraly Clinton,Donald Trump,0,3,95369,178573
Washington,2,12,Hiraly Clinton,Donald Trump,0,12,1221747,1742718
Wisconsin,1,10,Donald Trump,Hiraly Clinton,10,0,1405284,1382536
West Virginia,1,5,Donald Trump,Hiraly Clinton,5,0,489371,188794
Wyoming,1,3,Donald Trump,Hiraly Clinton,3,0,174419,55973
