state,result,elector,winner,loser,Republican,Democrats,REP_C,DEM_C
Alabama,1,9,Bob Dole,Bill Clinton,9,,769044,662165
Alaska,1,3,Bob Dole,Bill Clinton,3,,122746,80380
Arkansas,2,6,Bill Clinton,Bob Dole,,6,325416,475171
Arizona,2,8,Bill Clinton,Bob Dole,,8,622073,653288
California,2,54,Bill Clinton,Bob Dole,,54,3828380,5119835
Colorado,1,8,Bob Dole,Bill Clinton,8,,691848,671152
Connecticut,2,8,Bill Clinton,Bob Dole,,8,483109,735740
Delaware,2,3,Bill Clinton,Bob Dole,,3,99062,140355
District of Columbia,2,3,Bill Clinton,Bob Dole,,3,17339,158220
Florida,2,25,Bill Clinton,Bob Dole,,25,2244536,2546870
Georgia,1,13,Bob Dole,Bill Clinton,13,,1080843,1053849
Hawaii,2,4,Bill Clinton,Bob Dole,,4,113943,205012
Iowa,2,7,Bill Clinton,Bob Dole,,7,492644,620258
Idaho,1,4,Bob Dole,Bill Clinton,4,,256595,165443
Illinois,2,22,Bill Clinton,Bob Dole,,22,1587021,2341744
Indiana,1,12,Bob Dole,Bill Clinton,12,,1006693,887424
Kansas,1,6,Bob Dole,Bill Clinton,6,,583245,387659
Kentucky,2,8,Bill Clinton,Bob Dole,,8,623283,636614
Louisiana,2,9,Bill Clinton,Bob Dole,,9,712586,927837
Maine,2,4,Bill Clinton,Bob Dole,,4,186378,312788
Maryland,2,10,Bill Clinton,Bob Dole,,10,681530,966207
Massachusetts,2,12,Bill Clinton,Bob Dole,,12,718107,1571763
Michigan,2,18,Bill Clinton,Bob Dole,,18,1481212,1989653
Minnesota,2,10,Bill Clinton,Bob Dole,,10,766476,1120438
Missouri,2,11,Bill Clinton,Bob Dole,,11,890016,1025935
Mississippi,1,7,Bob Dole,Bill Clinton,7,,439838,394022
Montana,1,3,Bob Dole,Bill Clinton,3,,179652,167922
North Carolina,1,14,Bob Dole,Bill Clinton,14,,1225938,1107849
North Dakota,1,3,Bob Dole,Bill Clinton,3,,125050,106905
Nebraska,2,4,Bill Clinton,Bob Dole,,4,199244,203974
New Hampshire,2,4,Bill Clinton,Bob Dole,,4,196532,246214
New Jersey,2,15,Bill Clinton,Bob Dole,,15,1103078,1652329
New Mexico,2,5,Bill Clinton,Bob Dole,,5,232751,273495
Nevada,1,5,Bob Dole,Bill Clinton,5,,236761,363467
New York,2,33,Bill Clinton,Bob Dole,,33,1933492,3756177
Ohio,2,21,Bill Clinton,Bob Dole,,21,1859883,2148222
Oklahoma,1,8,Bob Dole,Bill Clinton,8,,582315,488105
Oregon,2,7,Bill Clinton,Bob Dole,,7,538152,649641
Pennsylvania,2,23,Bill Clinton,Bob Dole,,23,1801169,2215819
Rhode Island,2,4,Bill Clinton,Bob Dole,,4,104683,233050
South Carolina,1,8,Bob Dole,Bill Clinton,8,,573458,506283
South Dakota,1,3,Bob Dole,Bill Clinton,3,,150543,139333
Tennessee,2,11,Bill Clinton,Bob Dole,,11,863530,909146
Texas,1,32,Bob Dole,Bill Clinton,32,,2736167,2459683
Utah,1,5,Bob Dole,Bill Clinton,5,,361911,221633
Virginia,1,13,Bob Dole,Bill Clinton,13,,1138350,1091060
Vermont,2,3,Bill Clinton,Bob Dole,,3,80352,137894
Washington,2,11,Bill Clinton,Bob Dole,,11,840712,1123323
Wisconsin,2,10,Bill Clinton,Bob Dole,,11,845029,1071971
West Virginia,2,5,Bill Clinton,Bob Dole,,5,233946,327812
Wyoming,1,3,Bob Dole,Bill Clinton,3,,105388,77934
