state,result,elector,winner,loser,Republican,Democrats,REP_C,DEM_C
Alabama,1,9,Mitt Romny,Barack Obama,9,,1255925,795696
Alaska,1,3,Mitt Romny,Barack Obama,3,,164676,122640
Arkansas,1,6,Mitt Romny,Barack Obama,6,,647744,394409
Arizona,1,11,Mitt Romny,Barack Obama,11,,1233654,1025232
California,2,55,Barack Obama,Mitt Romny,,55,4839958,7854285
Colorado,2,9,Barack Obama,Mitt Romny,,9,1185243,1323102
Connecticut,2,7,Barack Obama,Mitt Romny,,7,634892,905083
Delaware,2,3,Barack Obama,Mitt Romny,,3,165484,242584
District of Columbia,2,3,Barack Obama,Mitt Romny,,3,21381,267070
Florida,2,29,Barack Obama,Mitt Romny,,29,4163447,4237756
Georgia,1,16,Mitt Romny,Barack Obama,16,,2078688,1773827
Hawaii,2,4,Barack Obama,Mitt Romny,,4,121015,306658
Iowa,2,6,Barack Obama,Mitt Romny,,6,730617,822544
Idaho,1,4,Mitt Romny,Barack Obama,4,,420911,212787
Illinois,2,20,Barack Obama,Mitt Romny,,20,2135216,3019512
Indiana,1,11,Mitt Romny,Barack Obama,11,,1420543,1152887
Kansas,1,6,Mitt Romny,Barack Obama,6,,692634,440726
Kentucky,1,8,Mitt Romny,Barack Obama,8,,1087190,679370
Louisiana,1,8,Mitt Romny,Barack Obama,8,,1152262,809141
Maine,2,4,Barack Obama,Mitt Romny,,4,292276,401306
Maryland,2,10,Barack Obama,Mitt Romny,,10,971869,1677844
Massachusetts,2,11,Barack Obama,Mitt Romny,,11,1188314,1921290
Michigan,2,16,Barack Obama,Mitt Romny,,16,2115256,2564569
Minnesota,2,10,Barack Obama,Mitt Romny,,10,1320225,1546167
Missouri,1,10,Mitt Romny,Barack Obama,10,,1482440,1223796
Mississippi,1,6,Mitt Romny,Barack Obama,6,,710746,562949
Montana,1,3,Mitt Romny,Barack Obama,3,,267928,201839
North Carolina,1,15,Mitt Romny,Barack Obama,15,,2270395,2178391
North Dakota,1,3,Mitt Romny,Barack Obama,3,,188163,124827
Nebraska,2,5,Barack Obama,Mitt Romny,,5,335788,415335
New Hampshire,2,4,Barack Obama,Mitt Romny,,4,329918,369561
New Jersey,2,14,Barack Obama,Mitt Romny,,14,1477568,2125101
New Mexico,2,5,Barack Obama,Mitt Romny,,5,335788,415335
Nevada,2,6,Barack Obama,Mitt Romny,,6,463567,531373
New York,2,29,Barack Obama,Mitt Romny,,29,2490431,4485741
Ohio,2,18,Barack Obama,Mitt Romny,,18,2661437,2827709
Oklahoma,1,7,Mitt Romny,Barack Obama,7,,891325,443547
Oregon,2,7,Barack Obama,Mitt Romny,,7,754175,970488
Pennsylvania,2,20,Barack Obama,Mitt Romny,,20,2680434,2990274
Rhode Island,2,4,Barack Obama,Mitt Romny,,4,157204,279677
South Carolina,1,9,Mitt Romny,Barack Obama,9,,1071645,865941
South Dakota,1,3,Mitt Romny,Barack Obama,3,,210610,145039
Tennessee,1,11,Mitt Romny,Barack Obama,11,,1462330,960709
Texas,1,38,Mitt Romny,Barack Obama,38,,4569843,3308124
Utah,1,6,Mitt Romny,Barack Obama,6,,740600,251813
Virginia,2,13,Barack Obama,Mitt Romny,,13,1822522,1971820
Vermont,2,3,Barack Obama,Mitt Romny,,3,92698,199239
Washington,2,12,Barack Obama,Mitt Romny,,12,1290670,1755396
Wisconsin,2,10,Barack Obama,Mitt Romny,,10,1407966,1620985
West Virginia,1,5,Mitt Romny,Barack Obama,5,,417655,238269
Wyoming,1,3,Mitt Romny,Barack Obama,3,,170962,69286
