state,result,elector,winner,loser,Republican,Democrats,REP_C,DEM_C
Alabama,1,9,George.W.Bush,Al Gore,9,,941173,692611
Alaska,1,3,George.W.Bush,Al Gore,3,,167398,79004
Arkansas,1,6,George.W.Bush,Al Gore,6,,472940,422768
Arizona,1,11,George.W.Bush,Al Gore,11,,781652,685341
California,2,55,Al Gore,George.W.Bush,,55,4567429,5861203
Colorado,1,9,George.W.Bush,Al Gore,9,,883748,738227
Connecticut,2,7,Al Gore,George.W.Bush,,7,561094,816015
Delaware,2,3,Al Gore,George.W.Bush,,3,137288,180068
District of Columbia,2,3,Al Gore,George.W.Bush,,3,180073,171923
Florida,1,29,George.W.Bush,Al Gore,29,,2912790,2912253
Georgia,1,16,George.W.Bush,Al Gore,16,,1419720,1116230
Hawaii,2,4,Al Gore,George.W.Bush,,4,137845,205286
Iowa,2,6,Al Gore,George.W.Bush,,6,634373,638517
Idaho,1,4,George.W.Bush,Al Gore,4,,336937,138637
Illinois,2,20,Al Gore,George.W.Bush,,20,2019421,2589026
Indiana,1,11,George.W.Bush,Al Gore,11,,1245836,901980
Kansas,1,6,George.W.Bush,Al Gore,6,,622332,399276
Kentucky,1,8,George.W.Bush,Al Gore,8,,872492,638898
Louisiana,1,8,George.W.Bush,Al Gore,8,,927871,792344
Maine,2,4,Al Gore,George.W.Bush,,4,286616,319951
Maryland,2,10,Al Gore,George.W.Bush,,10,813797,1145782
Massachusetts,2,11,Al Gore,George.W.Bush,,11,878502,1616487
Michigan,2,16,Al Gore,George.W.Bush,,16,1953139,2170418
Minnesota,2,10,Al Gore,George.W.Bush,,10,1109659,1168266
Missouri,1,10,George.W.Bush,Al Gore,10,,1189924,1111138
Mississippi,1,6,George.W.Bush,Al Gore,6,,572844,404614
Montana,1,3,George.W.Bush,Al Gore,3,,240718,137126
North Carolina,1,15,George.W.Bush,Al Gore,15,,1631163,1257692
North Dakota,1,3,George.W.Bush,Al Gore,3,,174852,95284
Nebraska,1,5,George.W.Bush,Al Gore,5,,433862,231780
New Hampshire,1,4,George.W.Bush,Al Gore,4,,273559,266348
New Jersey,2,14,Al Gore,George.W.Bush,,14,1284173,1788850
New Mexico,2,5,Al Gore,George.W.Bush,,5,286417,286783
Nevada,1,6,George.W.Bush,Al Gore,6,,301575,279978
New York,2,29,Al Gore,George.W.Bush,,29,2403374,4107697
Ohio,1,18,George.W.Bush,Al Gore,18,,2351209,2186190
Oklahoma,1,7,George.W.Bush,Al Gore,7,,744337,474276
Oregon,2,7,Al Gore,George.W.Bush,,7,713577,720342
Pennsylvania,2,20,Al Gore,George.W.Bush,,20,2281127,2485967
Rhode Island,2,4,Al Gore,George.W.Bush,,4,130555,249508
South Carolina,1,9,George.W.Bush,Al Gore,9,,785937,565561
South Dakota,1,3,George.W.Bush,Al Gore,3,,190700,118804
Tennessee,1,11,George.W.Bush,Al Gore,11,,1061949,981720
Texas,1,38,George.W.Bush,Al Gore,38,,3799639,2433746
Utah,1,6,George.W.Bush,Al Gore,6,,515096,203053
Virginia,1,13,George.W.Bush,Al Gore,13,,1437490,1217290
Vermont,2,3,Al Gore,George.W.Bush,,3,119775,149022
Washington,2,12,Al Gore,George.W.Bush,,12,1108864,1247652
Wisconsin,2,10,Al Gore,George.W.Bush,,10,1237279,1242987
West Virginia,1,5,George.W.Bush,Al Gore,5,,336475,295497
Wyoming,1,3,George.W.Bush,Al Gore,3,,147947,60481
