state,result,elector,winner,loser,Republican,Democrats,REP_C,DEM_C
Alabama,1,9,John McCain,Barack Obama,9,,1266546,813479
Alaska,1,3,John McCain,Barack Obama,3,,193841,123594
Arkansas,1,6,John McCain,Barack Obama,6,,638017,422310
Arizona,1,11,John McCain,Barack Obama,11,,1230111,1034707
California,2,55,Barack Obama,John McCain,,55,5011781,8274473
Colorado,2,9,Barack Obama,John McCain,,9,1073629,1288633
Connecticut,2,7,Barack Obama,John McCain,,7,629428,997772
Delaware,2,3,Barack Obama,John McCain,,3,152374,255459
District of Columbia,2,3,Barack Obama,John McCain,,3,17367,245800
Florida,2,29,Barack Obama,John McCain,,29,4045624,4282074
Georgia,1,16,John McCain,Barack Obama,16,,2048759,1844123
Hawaii,2,4,Barack Obama,John McCain,,4,120566,325871
Iowa,2,6,Barack Obama,John McCain,,6,682379,828940
Idaho,1,4,John McCain,Barack Obama,4,,403012,236440
Illinois,2,20,Barack Obama,John McCain,,20,2031179,3419348
Indiana,2,11,Barack Obama,John McCain,,11,1345648,1374039
Kansas,1,6,John McCain,Barack Obama,6,,699655,514765
Kentucky,1,8,John McCain,Barack Obama,8,,1048462,751985
Louisiana,1,8,John McCain,Barack Obama,8,,1148275,782989
Maine,2,4,Barack Obama,John McCain,,4,295273,421923
Maryland,2,10,Barack Obama,John McCain,,10,959862,1629467
Massachusetts,2,11,Barack Obama,John McCain,,11,1108854,1904097
Michigan,2,16,Barack Obama,John McCain,,16,2048639,2872579
Minnesota,2,10,Barack Obama,John McCain,,10,1275409,1573354
Missouri,1,10,John McCain,Barack Obama,10,,1445814,1441911
Mississippi,1,6,John McCain,Barack Obama,6,,724597,554662
Montana,1,3,John McCain,Barack Obama,3,,242763,231667
North Carolina,2,15,Barack Obama,John McCain,,15,2128474,2142651
North Dakota,1,3,John McCain,Barack Obama,3,,168601,141278
Nebraska,1,5,John McCain,Barack Obama,5,,452979,333319
New Hampshire,2,4,Barack Obama,John McCain,,4,316534,384826
New Jersey,2,14,Barack Obama,John McCain,,14,1613207,2215422
New Mexico,2,5,Barack Obama,John McCain,,5,346832,472422
Nevada,2,6,Barack Obama,John McCain,,6,412827,533736
New York,2,29,Barack Obama,John McCain,,29,2418323,4645332
Ohio,2,18,Barack Obama,John McCain,,18,2677820,2940044
Oklahoma,1,7,John McCain,Barack Obama,7,,960165,502496
Oregon,2,7,Barack Obama,John McCain,,7,738475,1037291
Pennsylvania,2,20,Barack Obama,John McCain,,20,2655885,3276363
Rhode Island,2,4,Barack Obama,John McCain,,4,165391,296571
South Carolina,1,9,John McCain,Barack Obama,9,,1034896,862449
South Dakota,1,3,John McCain,Barack Obama,3,,203054,170924
Tennessee,1,11,John McCain,Barack Obama,11,,1479178,1087437
Texas,1,38,John McCain,Barack Obama,38,,4479328,3528633
Utah,1,6,John McCain,Barack Obama,6,,596030,327670
Virginia,2,13,Barack Obama,John McCain,,13,1725005,1959532
Vermont,2,3,Barack Obama,John McCain,,3,98974,219262
Washington,2,12,Barack Obama,John McCain,,12,1229216,1750848
Wisconsin,2,10,Barack Obama,John McCain,,10,1262393,1677211
West Virginia,1,5,John McCain,Barack Obama,5,,397466,303857
Wyoming,1,3,John McCain,Barack Obama,3,,164958,82868
